Código;Descripción;Unidad;Sub Grupo;Grupo
2576;TUBO IMPROMINI 0.5 ML VIOLETA;UNIDAD;DESECHABLES;MEDICOQUIRURGICOS
1955;TUBO MICROTAINER TAPA LILA 0.5 ML ;UNIDAD;LABORATORIO;MEDICOQUIRURGICOS
2578;TUBO MICROTAINER TAPA VERDE HEP LITIO;UNIDAD;DESECHABLES;MEDICOQUIRURGICOS
2579;TUBO MICROTEST TAPA ROJA X 500 UL;UNIDAD;DESECHABLES;MEDICOQUIRURGICOS
2076;TUBO PARA GASTROSTOMIA QUIRURGICA 12 FR KIMBERLY;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1684;TUBO PARA GASTROSTOMIA QUIRURGICA 14 FR KIMBERLY;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
2024;TUBO PARA GASTROSTOMIA QUIRURGICA 16 FR KIMBERLY;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1685;TUBO PARA GASTROSTOMIA QUIRURGICA 18 FR KIMBERLY;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
2068;TUBO PARA GASTROSTOMIA QUIRURGICA 20 FR 2.5 CM;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
2025;TUBO PARA GASTROSTOMIA QUIRURGICA 20 FR KIMBERLY;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1686;TUBO PARA GASTROSTOMIA QUIRURGICA 22 FR KIMBERLY;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1470;TUBO PARA GASTROSTOMIA QUIRURGICA 24 FR KIMBERLY;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1772;TUBO SUCCION SILICONADO 3.6 MT PLUS VITAL;UNIDAD;JERINGAS;MEDICOQUIRURGICOS
1444;TUBO SUCCION SILICONADO X 3 MT COVIDIEN;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1479;TUBO TAPA AMARILLA 5 ML PED IMPROVE;UNIDAD;DESECHABLES;MEDICOQUIRURGICOS
1449;TUBO TAPA AMARILLA 5 ML VACUTAINER BD;UNIDAD;DESECHABLES;MEDICOQUIRURGICOS
1791;TUBO TAPA AMARILLA 5.0 ML IMPROVE;UNIDAD;LABORATORIO;MEDICOQUIRURGICOS
1396;TUBO TAPA AZUL 3.5 ML VACUETTE;UNIDAD;LABORATORIO;MEDICOQUIRURGICOS
1573;TUBO TAPA AZUL 4.5 ML VACUTAINER BD;UNIDAD;DESECHABLES;MEDICOQUIRURGICOS
